;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Article number in shop;UPC/EAN / GTIN / Barcode;Manufacturer's Code (HAN/MPN);Manufacturer / Brand Name;Product Name;Price;Discount Price;Was Price;Delivery Time;Product Group in Shop;Product Description;Product Characteristics / Further Attributes;Product URL;Image URL_1;Image URL_2;Image URL_3;Colour;Size;Cash in Advance;Cash in Advance / Paypal ;Credit Card;Paypal;Sofort Banking;Direct Debit;Cash on Delivery;Shipping Cost Comment;Unit Price;Voucher Code;Energy Efficiency Rating;Quantity;;;;;;;;;;;;;;;;;
120141861;8712581549084;BDP9600/12;Philips;Philips BDP9600/12 Blu-ray Player black;233.09;;;In stock! 1 - 2 Days;Home Entertainment > BluRay-Player;3D Blu-ray Disc Player for a full 3D experience at home;;http://www.shopname.co.uk/products/90141861.asp?agent=509;http://www.shopname.co.uk/images2/90141861_View1_XL.jpg;http://www.shopname.co.uk/images2/90141861_View2_XL.jpg;http://www.shopname.co.uk/images2/90141861_View3_XL.jpg;black;;4.5;9.5;5;4.5;;4.5;10.5;3% Discount for cash in advance / free collection in Maidstone store possible;;;;;;;;;;;;;;;;;;;;;
304870609;;B87313;Reebok;REEBOK Feel The Rhythm 2.0 Knitted Pant Women's Dance Bottoms Fit­ness Hip Hop Sport S;£13.57;;;around 4-6 working days;Outdoor > Sportswear > Dance Wear;Non-restrictive, super-stylish dance pants with a low crotch. Corded waistband with strap to fit the individual. Rib cuffs can be left high or rolled down depending on the fit – pleasant and soft French terrycloth allows for freedom of movement;US-Size: S;http://www.shopname.co.uk/itm/Reebok-Women-Bottoms-S/304870609;https://cdn10.shopname.co.uk/dynamic/images/d7f6299c59fe3714c0c.jpg?size=large ;;;black;S;0;;0;0;;;£5,00;;;;;;;;;;;;;;;;;;;;;;
120141862;4547410062083;INSMINI7SEXBLUD;Fuji;Fujifilm Instax Mini 7 S White;45.22;37.62;45.22;Arrival 1-2 working days after receipt of payment;Photo & Video > Instant Cameras;Instant camera for immediate pictures in 62x46mm format;;http://www.shopname.co.uk/products/90141862.asp?agent=509;http://www.shopname.co.uk/images2/90141862_View1_XL.jpg;http://www.shopname.co.uk/images2/90141862_View2_XL.jpg;http://www.shopname.co.uk/images2/90141862_View3_XL.jpg;white;;4.5;9.5;5;4.5;;4,5;10.5;;;SEASONSALE123 (10% discount on all stock / valid until 31.12.2016);;;;;;;;;;;;;;;;;;;
120167229;3182550710664;55188;Royal Canin;Royal Canin Feline Breed Maine Coon 31 Adult 10 kg (4-Pack);160.50;;;2-3 days;Cat Food;Maine Coon 31. Exclusive nutrition for Maine Coon Cats over 15 months;Pack Quantity:10Kg;http://www.shopname.co.uk/products/90167229.asp?agent=509;http://www.shopname.co.uk/images2/90141863_View1_XL.jpg;;;;;0;9.5;0;0;0;0;5.5;free collection in Maidstone branch possible;5.28 GBP/Kg;;;4;;;;;;;;;;;;;;;;;
5597.64023-0006;;64023BK5;;MCA Furniture Relax Chair Calgary 64023BK5 with Footrest in brown;£409.65;;;Delivery Time:: 4 Weeks;Upholstery » Chairs / Sofas;Leather chair W/D/H 90x91-122x104-89 cm / Footrest W/D/H 53x48x46 cm;Cow Leather # Shaped Wood # 100 % Polyvinyl Chloride;http://www.shopname.co.uk/MCA-Furniture-Relaxseat-Calgary-64023BK5;http://www.shopname.co.uk/images/products/large/64023BK5_b1.jpg ;http://www.shopname.co.uk/images/products/large/64023BK5_b2.jpg;http://www.shopname.co.uk/images/products/large/64023BK5_b3.jpg;brown;90 x 91-122 x 104-89 cm;12,95 GBP;;;12,95 GBP;;;;;;;;;;;;;;;;;;;;;;;;;
120167230;5397039273020;20097692;Symantec;Symantec Ghost 15 – english Download;21.99;;;Immediately available for download;PC-Software Tools & Tuning;Norton Ghost 15 – System Backup - Cold Imaging;;http://www.shopname.co.uk/products/90167230.asp?agent=509;http://www.shopname.co.uk/images2/90167231_View1_XL.jpg;http://www.shopname.co.uk/images2/90167231_View2_XL.jpg;http://www.shopname.co.uk/images2/90167231_View3_XL.jpg;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
10298;5415017270905;;LEVIS;LEVIS 501 Button Fly Pant ground down 32/34;35.68;;;Ready for shipping. Delivery: 1-3 working days.;Mens Fashion > Trousers;;Colour:blue | Gender:Men | Cut:straight | Material:100% Cotton | Größe:32/34;http://www.shopname.co.uk/products/90167230.asp?agent=510;http://www.shopname.co.uk/images2/90167232_View1_XL.jpg;http://www.shopname.co.uk/images2/90167232_View2_XL.jpg;;blue;32/34;0;;0;0.94;0;;;Plus 2% charge for PayPal payments;;;;;;;;;;;;;;;;;;;;;
29883;4010168052915;5291;Haba;Haba 5291 – Nativity Set;£68.36;£60.76;;Available for delivery, 1 - 3 working days;Toys / Toy Figures / Farms & Animals;This special Nativity scene from Haba brings a festive atmosphere into your living room and brings the story of Christ's birth to life.  Measurements: Stable Width 19 cm, Depth 5 cm, Height 14.5 cm.;"Wood Type: Beech; Series: Christmas; Colour: Multicoloured";http://www.shopname.co.uk/toys/5861855-xmascrib/?utm_source=IDEALO&utm_medium=PRICECOMPARISON&utm_campaign=IDEALOSTANDARD;https://www.shop.co.uk/images/picture/1495/4010168052915_original.jpg;;;;;£0,00 ;£4,95;;£0,00;£0,00 ;;£2,50;;;SNOWMAN10 (Today only: £10 discount on this article);;;;;;;;;;;;;;;;;;;
40073;4052551687205;;ADIDAS;ADIDAS Adilette black/black/running white;15.15;;18.96;Ready for delivery, 1-3 working days.;Mens Footwear > Sandals;The bathing sandals with the cult factor!;Colour:black/white| Gender:men | Material:100% synthetic | Size:12;http://www.shopname.co.uk/products/90167230.asp?agent=511;http://www.shopname.co.uk/images2/90167233_View1_XL.jpg;http://www.shopname.co.uk/images2/90167233_View2_XL.jpg;;black/white;UK12;4.9;9.90;4.9;4.9;4.9;4.9;4;free deliveries to UK mainland from £40;;;;;;;;;;;;;;;;;;;;;
B43677536A;4016803153580;ICBN 3356-20;Liebherr;Liebherr ICBN 3356-20 Premium, A++;1253.00;;;10 days;Built-in Cooling Appliances – Fridge-Freezer Combinations;EU Energy Efficiency Rating: A++ - Usage Capacity (total): 242 l - SuperFrost - Biofresh: 68 l;Energy Efficiency Rating: A++ (gUsage Capacity etotal242l | EiBUilt-in Deviceno;http://www.shopname.co.uk/products/B43677536A.asp?agent=509;http://www.shopname.co.uk/images2/B43677536A_1_XL.jpg;;;;;29.90;;;29.90;29.90;29.90;59.90;Old device collection, Installation, 2 man delivery service, surcharges possible;;;A++;;;;;;;;;;;;;;;;;;
36158;737052130705;;Hugo Boss;Hugo Boss Eau de Toilette (EdT) (60 ml);42.49;;;3-5 Working Days;Fragrances/Women's Fragrances;The sensual, provincial composition is dominated by top notes of exquisite, subtle tones of lychee...;Top note: flowery | Scent Intensity: fresh-intensive;http://www.shopname.co.uk/products/90167230.asp?agent=512;http://www.shopname.co.uk/images2/90167234_View1_XL.jpg;http://www.shopname.co.uk/images2/90167234_View2_XL.jpg;;;;3.95;;3.95;3.95;3.95;;;Free shipping for orders of 25 GBP;GBP 93,25 / 100 ml;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comments:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The article number should only appear once in the feed and, if possible, should remain the same and not be reused for new articles.;Several values may be entered ? EAN1,EAN2,EAN3 – The separating value can be freely chosen. This value should, however, differ from the CSV column dividing value.;Several manufacturer's codes may be entered (MPN) ? MPN1,MPN2,MPN3 – The separating value can be freely chosen. This value should, however, differ from the CSV column dividing value.;For own brands, please enter the shop name.;For an optimal product allocation, please enter the manufacturer + model name/number. Please refrain from entering additional promotional text here.;All price values must include VAT.;If values are entered in the discount price column, these will be displayed on idealo. In such cases, any values in column F will be ignored.;Price at which your shop sold the article before a price reduction. Not meant for the manufacturer's RRP.;These values should be identical to those of your shop.;If possible, please provide a 'path' structure here, beginning with the main category. Where possible, please avoid using manufacturer/model names or unspecific category terms here, e.g. 'Bargains' or 'Summer Sale'.;Your product description text must not exceed 1,000 characters in length. Formatting, line breaks and HTML do not count towards this limit.;Please enter these as 'name:value' pairs → Name1:Value1 | Name2:Value1 | Name3:Value1,Value2,Value3  - The separating value can be freely chosen. This value should, however, differ from the CSV column dividing value.;Please ensure your images have the highest possible resolution (max. 1MB). Images on a white background are also valued more highly. If you would like to send multiple images, additional columns may be used. Alternatively column N may be used for several images, with a separating value between each link → Link1,Link2,Link3. This separating value can be freely chosen but should differ from the CSV column dividing value.;;;;We prefer product attributes to be entered in 'name:value' pairs (see column L);;The following payment methods are currently supported by idealo: cash in advance, credit card, cash on delivery, direct debit, invoice, PayPal, Sofort banking, Giropay, Click & Buy, Skrill.;Should you wish for your products to appear on our other international sites as well as our UK site, country-specific delivery costs can be specified in additional columns. This also applies to prices, links, delivery times etc.;Please leave these field(s) empty when the payment method in question is not supported or is not available for certain articles.;If additional costs are applied to certain payment methods, please enter the total amount, i.e. shipping costs + surcharge;0 = shipping costs are free;;Surcharges for certain payment methods can be included both separately and as part of a total delivery cost value (shipping cost + surcharge) The price of the article should not be included in this figure.;This comment must not exceed 150 characters in length and should only contain information relative to the payment or shipping types. Promotional or advertising text is not permitted. Any formatting or line breaks will not count towards the character limit.;This column must be used in the case of articles that require a unit price.;For articles with a voucher option, the reduced price must be given in the export feed. This should go either in the price column or in the separate 'reduced price' column (column G). The voucher code text must not exceed 200 characters in length. Please ensure you only send the voucher code information for the time period in which the promotion is valid. The voucher codes must not be sent in advance of the promotion and must be removed from the feed when the voucher code has expired. This applies likewise to the discount prices. When removing these, please ensure you only delete the contents of the respective columns, rather than the columns themselves. Voucher promotions giving the customer free shipping are not possible and each promotion must be applicable to all types of buyer.;Only for articles that require an energy label.;If you combine several identical articles into a multipack in order to offer these at a cheaper price, you should provide idealo with the quantity. The total price must be provided in such cases. For the presentation of such articles in our Product Catalogue, idealo will calculate the individual price and display your article with a corresponding reference to the multipack.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"• This example feed appears in Excel format in order to provide a better overview. When sending us your products for entry into our system, please use exclusively CSV or TXT formats.
• The products given in this example feed serve to clarify the formatting and variations that idealo can accept when you send us your data. Further information can be found in the corresponding UK_feed_specification.pdf document.
• idealo supports the following character sets: UTF-8, ISO-8859-1, ISO-8859-15(EURO) or Windows-1252.
• The CSV column dividing value can be freely chosen but it must differ from other symbols that appear in your product text. 
• The order of the columns serves only as an example and can be adjusted as you wish. We will allocate your columns to the corresponding idealo attribute in our system, so please inform us if you do change the order.
• If you restrict access by means of a user name and password, please share these details with us. Password-protected zip/gzip archives cannot be processed.   
 • Please ensure the file name does not change as this will prevent the automatic download from working. In such cases, please inform us beforehand.
• NOTE: Please ensure that you have fulfilled all of the legal requirements for articles where additional labels must be displayed and that you have sent all of the necessary information for these articles to idealo. Failure to do so could risk disciplinary action brought against you by competitors or consumer organisations.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Updated:  November 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
